"Species","Region","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex"
"Adelie ","Anvers","Biscoe",63,18,192,3950,"MALE"
"Adelie ","Anvers","Biscoe",13,16.2,195,3350,"FEMALE"
"Adelie ","Anvers","Biscoe",59,19.1,188,4100,"MALE"
"Adelie ","Anvers","Torgersen",65,19.4,198,4450,"MALE"
"Adelie ","Anvers","Torgersen",3,19,190,3600,"FEMALE"
"Adelie ","Anvers","Torgersen",48,18.4,190,3900,"MALE"
"Adelie ","Anvers","Torgersen",47,17.2,196,3550,"FEMALE"
"Adelie ","Anvers","Torgersen",94,18.9,197,4150,"MALE"
"Adelie ","Anvers","Torgersen",13,17.5,190,3700,"FEMALE"
"Adelie ","Anvers","Torgersen",73,18.5,195,4250,"MALE"
"Adelie ","Anvers","Torgersen",57,16.8,191,3700,"FEMALE"
"Adelie ","Anvers","Torgersen",27,19.4,184,3900,"MALE"
"Adelie ","Anvers","Torgersen",18,16.1,187,3550,"FEMALE"
"Adelie ","Anvers","Torgersen",67,19.1,195,4000,"MALE"
"Adelie ","Anvers","Torgersen",8,17.2,189,3200,"FEMALE"
"Adelie ","Anvers","Torgersen",74,17.6,196,4700,"MALE"
"Adelie ","Anvers","Torgersen",23,18.8,187,3800,"FEMALE"
"Adelie ","Anvers","Torgersen",10,19.4,193,4200,"MALE"
"Adelie ","Anvers","Dream",28,17.8,191,3350,"FEMALE"
"Adelie ","Anvers","Dream",60,20.3,194,3550,"MALE"
"Adelie ","Anvers","Dream",19,19.5,190,3800,"MALE"
"Adelie ","Anvers","Dream",25,18.6,189,3500,"FEMALE"
"Adelie ","Anvers","Dream",36,19.2,189,3950,"MALE"
"Adelie ","Anvers","Dream",41,18.8,190,3600,"FEMALE"
"Adelie ","Anvers","Dream",15,18,202,3550,"FEMALE"
"Adelie ","Anvers","Dream",59,18.1,205,4300,"MALE"
"Adelie ","Anvers","Dream",4,17.1,185,3400,"FEMALE"
"Adelie ","Anvers","Dream",47,18.1,186,4450,"MALE"
"Adelie ","Anvers","Dream",18,17.3,187,3300,"FEMALE"
"Adelie ","Anvers","Dream",56,18.9,208,4300,"MALE"
"Adelie ","Anvers","Dream",52,18.5,196,4350,"MALE"
"Adelie ","Anvers","Dream",2,16.1,178,2900,"FEMALE"
"Adelie ","Anvers","Dream",76,18.5,192,4100,"MALE"
"Adelie ","Anvers","Biscoe",9,17.9,192,3725,"FEMALE"
"Adelie ","Anvers","Biscoe",58,20,203,4725,"MALE"
"Adelie ","Anvers","Biscoe",31,16,183,3075,"FEMALE"
"Adelie ","Anvers","Biscoe",32,20,190,4250,"MALE"
"Adelie ","Anvers","Biscoe",33,18.6,193,2925,"FEMALE"
"Adelie ","Anvers","Biscoe",48,18.9,184,3550,"MALE"
"Adelie ","Anvers","Biscoe",38,17.2,199,3750,"FEMALE"
"Adelie ","Anvers","Biscoe",35,20,190,3900,"MALE"
"Adelie ","Anvers","Biscoe",34,17,181,3175,"FEMALE"
"Adelie ","Anvers","Biscoe",76,19,197,4775,"MALE"
"Adelie ","Anvers","Biscoe",34,16.5,198,3825,"FEMALE"
"Adelie ","Anvers","Biscoe",92,20.3,191,4600,"MALE"
"Adelie ","Anvers","Biscoe",48,17.7,193,3200,"FEMALE"
"Adelie ","Anvers","Biscoe",68,19.5,197,4275,"MALE"
"Adelie ","Anvers","Biscoe",47,20.7,191,3900,"FEMALE"
"Adelie ","Anvers","Biscoe",72,18.3,196,4075,"MALE"
"Adelie ","Anvers","Torgersen",38,17,188,2900,"FEMALE"
"Adelie ","Anvers","Torgersen",28,20.5,199,3775,"MALE"
"Adelie ","Anvers","Torgersen",15,17,189,3350,"FEMALE"
"Adelie ","Anvers","Torgersen",59,18.6,189,3325,"MALE"
"Adelie ","Anvers","Torgersen",18,17.2,187,3150,"FEMALE"
"Adelie ","Anvers","Torgersen",31,19.8,198,3500,"MALE"
"Adelie ","Anvers","Torgersen",51,17,176,3450,"FEMALE"
"Adelie ","Anvers","Torgersen",61,18.5,202,3875,"MALE"
"Adelie ","Anvers","Torgersen",54,19,199,4000,"MALE"
"Adelie ","Anvers","Torgersen",40,17.6,191,3275,"FEMALE"
"Adelie ","Anvers","Torgersen",62,18.3,195,4300,"MALE"
"Adelie ","Anvers","Torgersen",42,17.1,191,3050,"FEMALE"
"Adelie ","Anvers","Torgersen",82,18,210,4000,"MALE"
"Adelie ","Anvers","Torgersen",37,17.9,190,3325,"FEMALE"
"Adelie ","Anvers","Torgersen",75,19.2,197,3500,"MALE"
"Adelie ","Anvers","Dream",24,18.5,193,3500,"FEMALE"
"Adelie ","Anvers","Dream",29,18.5,199,4475,"MALE"
"Adelie ","Anvers","Dream",34,17.6,187,3425,"FEMALE"
"Adelie ","Anvers","Dream",59,17.5,190,3900,"MALE"
"Adelie ","Anvers","Dream",14,17.5,191,3175,"FEMALE"
"Adelie ","Anvers","Dream",51,20.1,200,3975,"MALE"
"Adelie ","Anvers","Dream",48,17.9,193,4250,"MALE"
"Adelie ","Anvers","Dream",51,17.1,193,3400,"FEMALE"
"Adelie ","Anvers","Dream",54,17.2,187,3475,"MALE"
"Adelie ","Anvers","Dream",1,15.5,188,3050,"FEMALE"
"Adelie ","Anvers","Dream",28,16.8,192,3000,"FEMALE"
"Adelie ","Anvers","Dream",42,18.7,185,3650,"MALE"
"Adelie ","Anvers","Dream",44,18.6,190,4250,"MALE"
"Adelie ","Anvers","Dream",22,18.4,184,3475,"FEMALE"
"Adelie ","Anvers","Dream",17,17.8,195,3450,"FEMALE"
"Adelie ","Anvers","Dream",32,18.1,193,3750,"MALE"
"Adelie ","Anvers","Dream",17,17.1,187,3700,"FEMALE"
"Adelie ","Anvers","Dream",62,18.5,201,4000,"MALE"
"Gentoo","Anvers","Biscoe",97,13.2,211,4500,"FEMALE"
"Gentoo","Anvers","Biscoe",131,16.3,230,5700,"MALE"
"Gentoo","Anvers","Biscoe",119,14.1,210,4450,"FEMALE"
"Gentoo","Anvers","Biscoe",131,15.2,218,5700,"MALE"
"Gentoo","Anvers","Biscoe",111,14.5,215,5400,"MALE"
"Gentoo","Anvers","Biscoe",101,13.5,210,4550,"FEMALE"
"Gentoo","Anvers","Biscoe",90,14.6,211,4800,"FEMALE"
"Gentoo","Anvers","Biscoe",103,15.3,219,5200,"MALE"
"Gentoo","Anvers","Biscoe",77,13.4,209,4400,"FEMALE"
"Gentoo","Anvers","Biscoe",104,15.4,215,5150,"MALE"
"Gentoo","Anvers","Biscoe",57,13.7,214,4650,"FEMALE"
"Gentoo","Anvers","Biscoe",121,16.1,216,5550,"MALE"
"Gentoo","Anvers","Biscoe",91,13.7,214,4650,"FEMALE"
"Gentoo","Anvers","Biscoe",116,14.6,213,5850,"MALE"
"Gentoo","Anvers","Biscoe",94,14.6,210,4200,"FEMALE"
"Gentoo","Anvers","Biscoe",124,15.7,217,5850,"MALE"
"Gentoo","Anvers","Biscoe",NA,13.5,210,4150,"FEMALE"
"Gentoo","Anvers","Biscoe",123,15.2,221,6300,"MALE"
"Gentoo","Anvers","Biscoe",98,14.5,209,4800,"FEMALE"
"Gentoo","Anvers","Biscoe",119,15.1,222,5350,"MALE"
"Gentoo","Anvers","Biscoe",133,14.3,218,5700,"MALE"
"Gentoo","Anvers","Biscoe",87,14.5,215,5000,"FEMALE"
"Gentoo","Anvers","Biscoe",101,14.5,213,4400,"FEMALE"
"Gentoo","Anvers","Biscoe",99,15.8,215,5050,"MALE"
"Gentoo","Anvers","Biscoe",74,13.1,215,5000,"FEMALE"
"Gentoo","Anvers","Biscoe",97,15.1,215,5100,"MALE"
"Gentoo","Anvers","Biscoe",84,14.3,216,4100,NA
"Gentoo","Anvers","Biscoe",113,15,215,5650,"MALE"
"Gentoo","Anvers","Biscoe",115,14.3,210,4600,"FEMALE"
"Gentoo","Anvers","Biscoe",131,15.3,220,5550,"MALE"
"Gentoo","Anvers","Biscoe",108,15.3,222,5250,"MALE"
"Gentoo","Anvers","Biscoe",73,14.2,209,4700,"FEMALE"
"Gentoo","Anvers","Biscoe",87,14.5,207,5050,"FEMALE"
"Gentoo","Anvers","Biscoe",162,17,230,6050,"MALE"
"Gentoo","Anvers","Biscoe",122,14.8,220,5150,"FEMALE"
"Gentoo","Anvers","Biscoe",116,16.3,220,5400,"MALE"
"Gentoo","Anvers","Biscoe",71,13.7,213,4950,"FEMALE"
"Gentoo","Anvers","Biscoe",83,17.3,219,5250,"MALE"
"Gentoo","Anvers","Biscoe",164,13.6,208,4350,"FEMALE"
"Gentoo","Anvers","Biscoe",119,15.7,208,5350,"MALE"
"Gentoo","Anvers","Biscoe",72,13.7,208,3950,"FEMALE"
"Gentoo","Anvers","Biscoe",127,16,225,5700,"MALE"
"Gentoo","Anvers","Biscoe",89,13.7,210,4300,"FEMALE"
"Gentoo","Anvers","Biscoe",127,15,216,4750,"MALE"
"Gentoo","Anvers","Biscoe",136,15.9,222,5550,"MALE"
"Gentoo","Anvers","Biscoe",80,13.9,217,4900,"FEMALE"
"Gentoo","Anvers","Biscoe",91,13.9,210,4200,"FEMALE"
"Gentoo","Anvers","Biscoe",136,15.9,225,5400,"MALE"
"Gentoo","Anvers","Biscoe",85,13.3,213,5100,"FEMALE"
"Gentoo","Anvers","Biscoe",88,15.8,215,5300,"MALE"
"Gentoo","Anvers","Biscoe",102,14.2,210,4850,"FEMALE"
"Gentoo","Anvers","Biscoe",117,14.1,220,5300,"MALE"
"Gentoo","Anvers","Biscoe",87,14.4,210,4400,"FEMALE"
"Gentoo","Anvers","Biscoe",132,15,225,5000,"MALE"
"Gentoo","Anvers","Biscoe",101,14.4,217,4900,"FEMALE"
"Gentoo","Anvers","Biscoe",86,15.4,220,5050,"MALE"
"Gentoo","Anvers","Biscoe",81,13.9,208,4300,"FEMALE"
"Gentoo","Anvers","Biscoe",76,14.5,208,4450,"FEMALE"
"Gentoo","Anvers","Biscoe",135,15.3,224,5550,"MALE"
"Gentoo","Anvers","Biscoe",89,13.8,208,4200,"FEMALE"
"Gentoo","Anvers","Biscoe",98,14.9,221,5300,"MALE"
"Gentoo","Anvers","Biscoe",93,13.9,214,4400,"FEMALE"
"Gentoo","Anvers","Biscoe",157,15.7,231,5650,"MALE"
"Gentoo","Anvers","Biscoe",94,14.2,219,4700,"FEMALE"
"Gentoo","Anvers","Biscoe",129,16.8,230,5700,"MALE"
"Gentoo","Anvers","Biscoe",98,14.4,214,4650,NA
"Gentoo","Anvers","Biscoe",126,16.2,229,5800,"MALE"
"Gentoo","Anvers","Biscoe",79,14.2,220,4700,"FEMALE"
"Gentoo","Anvers","Biscoe",138,15,223,5550,"MALE"
"Gentoo","Anvers","Biscoe",112,15,216,4750,"FEMALE"
"Gentoo","Anvers","Biscoe",100,15.6,221,5000,"MALE"
"Gentoo","Anvers","Biscoe",115,15.6,221,5100,"MALE"
"Gentoo","Anvers","Biscoe",101,14.8,217,5200,"FEMALE"
"Gentoo","Anvers","Biscoe",100,15,216,4700,"FEMALE"
"Gentoo","Anvers","Biscoe",118,16,230,5800,"MALE"
"Gentoo","Anvers","Biscoe",110,14.2,209,4600,"FEMALE"
"Gentoo","Anvers","Biscoe",142,16.3,220,6000,"MALE"
"Gentoo","Anvers","Biscoe",88,13.8,215,4750,"FEMALE"
"Gentoo","Anvers","Biscoe",88,16.4,223,5950,"MALE"
"Gentoo","Anvers","Biscoe",122,14.5,212,4625,"FEMALE"
"Gentoo","Anvers","Biscoe",151,15.6,221,5450,"MALE"
"Gentoo","Anvers","Biscoe",109,14.6,212,4725,"FEMALE"
"Gentoo","Anvers","Biscoe",131,15.9,224,5350,"MALE"
"Gentoo","Anvers","Biscoe",85,13.8,212,4750,"FEMALE"
"Gentoo","Anvers","Biscoe",139,17.3,228,5600,"MALE"
"Gentoo","Anvers","Biscoe",78,14.4,218,4600,"FEMALE"
"Gentoo","Anvers","Biscoe",143,14.2,218,5300,"MALE"
"Gentoo","Anvers","Biscoe",110,14,212,4875,"FEMALE"
"Gentoo","Anvers","Biscoe",149,17,230,5550,"MALE"
"Gentoo","Anvers","Biscoe",110,15,218,4950,"FEMALE"
"Gentoo","Anvers","Biscoe",91,14.5,212,4750,"FEMALE"
"Gentoo","Anvers","Biscoe",126,16.1,224,5650,"MALE"
"Gentoo","Anvers","Biscoe",84,14.7,214,4850,"FEMALE"
"Gentoo","Anvers","Biscoe",139,15.7,226,5200,"MALE"
"Gentoo","Anvers","Biscoe",125,15.8,216,4925,"MALE"
"Gentoo","Anvers","Biscoe",105,14.6,222,4875,"FEMALE"
"Gentoo","Anvers","Biscoe",116,14.4,203,4625,"FEMALE"
"Gentoo","Anvers","Biscoe",142,16.5,225,5250,"MALE"
"Gentoo","Anvers","Biscoe",117,15,219,4850,"FEMALE"
"Gentoo","Anvers","Biscoe",160,17,228,5600,"MALE"
"Gentoo","Anvers","Biscoe",107,15.5,215,4975,"FEMALE"
"Gentoo","Anvers","Biscoe",122,15,228,5500,"MALE"
"Gentoo","Anvers","Biscoe",108,13.8,216,4725,NA
"Gentoo","Anvers","Biscoe",104,16.1,215,5500,"MALE"
"Gentoo","Anvers","Biscoe",64,14.7,210,4700,"FEMALE"
"Gentoo","Anvers","Biscoe",154,15.8,219,5500,"MALE"
"Gentoo","Anvers","Biscoe",77,14,208,4575,"FEMALE"
"Gentoo","Anvers","Biscoe",114,15.1,209,5500,"MALE"
"Gentoo","Anvers","Biscoe",136,15.2,216,5000,"FEMALE"
"Gentoo","Anvers","Biscoe",129,15.9,229,5950,"MALE"
"Gentoo","Anvers","Biscoe",79,15.2,213,4650,"FEMALE"
"Gentoo","Anvers","Biscoe",145,16.3,230,5500,"MALE"
"Gentoo","Anvers","Biscoe",98,14.1,217,4375,"FEMALE"
"Gentoo","Anvers","Biscoe",158,16,230,5850,"MALE"
"Gentoo","Anvers","Biscoe",84,15.7,217,4875,NA
"Gentoo","Anvers","Biscoe",120,16.2,222,6000,"MALE"
"Gentoo","Anvers","Biscoe",107,13.7,214,4925,"FEMALE"
"Gentoo","Anvers","Biscoe",104,14.3,215,4850,"FEMALE"
"Gentoo","Anvers","Biscoe",135,15.7,222,5750,"MALE"
"Gentoo","Anvers","Biscoe",88,14.8,212,5200,"FEMALE"
"Gentoo","Anvers","Biscoe",130,16.1,213,5400,"MALE"
"Chinstrap","Anvers","Dream",101,17.9,192,3500,"FEMALE"
"Chinstrap","Anvers","Dream",131,19.5,196,3900,"MALE"
"Chinstrap","Anvers","Dream",143,19.2,193,3650,"MALE"
"Chinstrap","Anvers","Dream",90,18.7,188,3525,"FEMALE"
"Chinstrap","Anvers","Dream",152,19.8,197,3725,"MALE"
"Chinstrap","Anvers","Dream",88,17.8,198,3950,"FEMALE"
"Chinstrap","Anvers","Dream",97,18.2,178,3250,"FEMALE"
"Chinstrap","Anvers","Dream",143,18.2,197,3750,"MALE"
"Chinstrap","Anvers","Dream",96,18.9,195,4150,"FEMALE"
"Chinstrap","Anvers","Dream",143,19.9,198,3700,"MALE"
"Chinstrap","Anvers","Dream",102,17.8,193,3800,"FEMALE"
"Chinstrap","Anvers","Dream",146,20.3,194,3775,"MALE"
"Chinstrap","Anvers","Dream",106,17.3,185,3700,"FEMALE"
"Chinstrap","Anvers","Dream",148,18.1,201,4050,"MALE"
"Chinstrap","Anvers","Dream",95,17.1,190,3575,"FEMALE"
"Chinstrap","Anvers","Dream",136,19.6,201,4050,"MALE"
"Chinstrap","Anvers","Dream",134,20,197,3300,"MALE"
"Chinstrap","Anvers","Dream",161,17.8,181,3700,"FEMALE"
"Chinstrap","Anvers","Dream",100,18.6,190,3450,"FEMALE"
"Chinstrap","Anvers","Dream",123,18.2,195,4400,"MALE"
"Chinstrap","Anvers","Dream",69,17.3,181,3600,"FEMALE"
"Chinstrap","Anvers","Dream",117,17.5,191,3400,"MALE"
"Chinstrap","Anvers","Dream",76,16.6,187,2900,"FEMALE"
"Chinstrap","Anvers","Dream",137,19.4,193,3800,"MALE"
"Chinstrap","Anvers","Dream",103,17.9,195,3300,"FEMALE"
"Chinstrap","Anvers","Dream",165,19,197,4150,"MALE"
"Chinstrap","Anvers","Dream",136,18.4,200,3400,"FEMALE"
"Chinstrap","Anvers","Dream",126,19,200,3800,"MALE"
"Chinstrap","Anvers","Dream",100,17.8,191,3700,"FEMALE"
"Chinstrap","Anvers","Dream",153,20,205,4550,"MALE"
"Chinstrap","Anvers","Dream",57,16.6,187,3200,"FEMALE"
"Chinstrap","Anvers","Dream",156,20.8,201,4300,"MALE"
"Chinstrap","Anvers","Dream",70,16.7,187,3350,"FEMALE"
"Chinstrap","Anvers","Dream",141,18.8,203,4100,"MALE"
"Chinstrap","Anvers","Dream",128,18.6,195,3600,"MALE"
"Chinstrap","Anvers","Dream",110,16.8,199,3900,"FEMALE"
"Chinstrap","Anvers","Dream",111,18.3,195,3850,"FEMALE"
"Chinstrap","Anvers","Dream",148,20.7,210,4800,"MALE"
"Chinstrap","Anvers","Dream",105,16.6,192,2700,"FEMALE"
"Chinstrap","Anvers","Dream",155,19.9,205,4500,"MALE"
"Chinstrap","Anvers","Dream",121,19.5,210,3950,"MALE"
"Chinstrap","Anvers","Dream",NA,17.5,187,3650,"FEMALE"
"Chinstrap","Anvers","Dream",140,19.1,196,3550,"MALE"
"Chinstrap","Anvers","Dream",91,17,196,3500,"FEMALE"
"Chinstrap","Anvers","Dream",140,17.9,196,3675,"FEMALE"
"Chinstrap","Anvers","Dream",139,18.5,201,4450,"MALE"
"Chinstrap","Anvers","Dream",132,17.9,190,3400,"FEMALE"
"Chinstrap","Anvers","Dream",121,19.6,212,4300,"MALE"
"Chinstrap","Anvers","Dream",145,18.7,187,3250,"MALE"
"Chinstrap","Anvers","Dream",129,17.3,198,3675,"FEMALE"
"Chinstrap","Anvers","Dream",114,16.4,199,3325,"FEMALE"
"Chinstrap","Anvers","Dream",144,19,201,3950,"MALE"
"Chinstrap","Anvers","Dream",93,17.3,193,3600,"FEMALE"
"Chinstrap","Anvers","Dream",138,19.7,203,4050,"MALE"
"Chinstrap","Anvers","Dream",70,17.3,187,3350,"FEMALE"
"Chinstrap","Anvers","Dream",150,18.8,197,3450,"MALE"
"Chinstrap","Anvers","Dream",NA,16.6,191,3250,"FEMALE"
"Chinstrap","Anvers","Dream",124,19.9,203,4050,"MALE"
"Chinstrap","Anvers","Dream",133,18.8,202,3800,"MALE"
"Chinstrap","Anvers","Dream",92,19.4,194,3525,"FEMALE"
"Chinstrap","Anvers","Dream",147,19.5,206,3950,"MALE"
"Chinstrap","Anvers","Dream",104,16.5,189,3650,"FEMALE"
"Chinstrap","Anvers","Dream",93,17,195,3650,"FEMALE"
"Chinstrap","Anvers","Dream",159,19.8,207,4000,"MALE"
"Chinstrap","Anvers","Dream",79,18.1,202,3400,"FEMALE"
"Chinstrap","Anvers","Dream",127,18.2,193,3775,"MALE"
"Chinstrap","Anvers","Dream",139,19,210,4100,"MALE"
"Chinstrap","Anvers","Dream",133,18.7,198,3775,"FEMALE"
